"play ID","game ID","game name",date,location,length,comments,"player 1 username","player 1 name","player 1 startposition","player 1 color","player 1 score","player 1 new","player 1 win","player 2 username","player 2 name","player 2 startposition","player 2 color","player 2 score","player 2 new","player 2 win","player 3 username","player 3 name","player 3 startposition","player 3 color","player 3 score","player 3 new","player 3 win","player 4 username","player 4 name","player 4 startposition","player 4 color","player 4 score","player 4 new","player 4 win","player 5 username","player 5 name","player 5 score","player 5 new","player 5 win","player 6 username","player 6 name","player 6 score","player 6 new","player 6 win","player 7 name","player 7 win","player 8 username","player 8 name","player 8 new"
89506887,360359,Neotopia,2024-09-28,H.,,,,Bart,,,59,,,Boelerino,Martijn,,,64,,,Excali8ur,Rianne,,,62,,,Keukenprinses,Sabrina,,,66,,1,,,,,,,,,,,,,,,
89514380,201808,"Clank!: A Deck-Building Adventure",2024-09-28,H.,,,,Bart,,,96,,1,Boelerino,Martijn,,,63,1,,Excali8ur,Rianne,,,71,,,Keukenprinses,Sabrina,,,43,1,,,,,,,,,,,,,,,,
89542705,419074,"Fairy Ring",2024-09-29,H.,,,,Bart,,,7,1,,,Margo,,,7,1,,Excali8ur,Rianne,,,9,1,1,,Sander,,,7,1,,,,,,,,,,,,,,,,
89546454,425428,"Survive The Island",2024-09-29,H.,,,,Bart,,,19,1,,,Margo,,,22,1,1,Excali8ur,Rianne,,,15,1,,,Sander,,,14,1,,,,,,,,,,,,,,,,
89669197,424995,"Star Explorer",2024-10-03,Spiel,,,,"Anonymous player",,,89,,,Excali8ur,Rianne,,,121,1,1,,Sabrina,,,95,1,,,,,,,,,,,,,,,,,,,,,,,
89701113,149863,"Link It 4",2024-10-04,S.,,,Excali8ur,Rianne,,,,1,,Keukenprinses,Sabrina,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89703863,420564,NaÈco,2024-10-04,H.,,,,"Anonymous player",,,11,,,,"Anonymous player",,,13,,,,"Anonymous player",,,22,,1,Excali8ur,Rianne,,,15,1,,,,,,,,,,,,,,,,
89718245,277902,"Gory≈ç",2024-10-04,S.,,,Excali8ur,Rianne,,Goryo,,1,1,,Tom,,Samurai,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89719852,277902,"Gory≈ç",2024-10-04,S.,,,Excali8ur,Rianne,,Samurai,,1,,,Tom,,Goryo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89739018,374134,Chandigarh,2024-10-05,H.,,,Excali8ur,Rianne,,,30,1,,,Tom,,,33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89765267,428577,Ananda,2024-10-05,H.,,,,Bart,,,26,1,,Boelerino,Martijn,,,14,1,,Excali8ur,Rianne,,,30,,1,,Tom,,,24,1,,,,,,,,,,,,,,,,
89909076,418354,Babylon,2024-10-09,H.,,"Blauw (48) tegen rood (54). Tegen mezelf gespeeld, half potje.",,Astra,,,48,1,,Excali8ur,Rianne,,,54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89934519,397788,"Worms: The Board Game",2024-10-10,Home,,,,Bart,,,,1,1,,Erik,,,,1,,,Margo,,,,1,,Excali8ur,Rianne,,,,1,,,Sander,,1,,,,,,,,,,,
90005720,418059,"SETI: Search for Extraterrestrial Intelligence",2024-10-12,Home,,,,Bart,,,164,1,,,Martijn,,,175,1,1,Excali8ur,Rianne,,,166,1,,,,,,,,,,,,,,,,,,,,,,,
90010684,418354,Babylon,2024-10-12,H.,,,,Bart,,,63,1,1,Boelerino,Martijn,,,58,1,,Excali8ur,Rianne,,,60,,,Keukenprinses,Sabrina,,,62,1,,,,,,,,,,,,,,,,
90015438,403754,"Middle Ages",2024-10-12,H.,,,,Bart,,,111,1,,Boelerino,Martijn,,,122,1,,Excali8ur,Rianne,,,115,1,,Keukenprinses,Sabrina,,,140,1,1,,,,,,,,,,,,,,,
90069109,306040,"Merv: The Heart of the Silk Road",2024-10-13,H.,,,,Bart,,,110,1,1,Excali8ur,Rianne,,,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90074636,419454,"Around the World in 80 Days",2024-10-13,H.,,,,Bart,,,34,1,,Excali8ur,Rianne,,,37,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90133433,417197,Rebirth,2024-10-15,H.,,"Score vergeten op te schrijven. ",,Bart,,,,1,,Excali8ur,Rianne,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90139352,317859,"Forests of Pangaia",2024-10-15,H.,,,,Bart,,,37,1,1,Excali8ur,Rianne,,,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90197370,319807,"Shogun no Katana",2024-10-17,H.,,,,Bart,,,104,1,,Excali8ur,Rianne,,,105,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
